Destination,Date,rolling_week_avg,rolling_week_sum
London,2021-01-01,163123.5,652494
London,2021-01-02,156324.8,781624
London,2021-01-03,168986.66666666666,1013920
London,2021-01-04,159290.85714285713,1115036
London,2021-01-05,149116.14285714287,1043813
London,2021-01-06,159008.7142857143,1113061
London,2021-01-07,166073.2857142857,1162513
London,2021-01-08,175575.7142857143,1229030
London,2021-01-09,190765.7142857143,1335360
London,2021-01-10,188118.2857142857,1316828
London,2021-01-11,205388.0,1437716
London,2021-01-12,204895.85714285713,1434271
London,2021-01-13,196013.14285714287,1372092
London,2021-01-14,197201.57142857142,1380411
London,2021-01-15,192126.0,1344882
London,2021-01-16,181020.42857142858,1267143
London,2021-01-17,170432.42857142858,1193027
London,2021-01-18,165661.2857142857,1159629
London,2021-01-19,159438.57142857142,1116070
London,2021-01-20,169539.2857142857,1186775
London,2021-01-21,164534.7142857143,1151743
London,2021-01-22,169513.2857142857,1186593
London,2021-01-23,176976.85714285713,1238838
London,2021-01-24,187127.57142857142,1309893
London,2021-01-25,177712.0,1243984
London,2021-01-26,194421.0,1360947
London,2021-01-27,193409.57142857142,1353867
London,2021-01-28,196276.85714285713,1373938
London,2021-01-29,191251.57142857142,1338761
London,2021-01-30,179455.57142857142,1256189
London,2021-01-31,164203.2857142857,1149423
London,2021-02-01,165984.0,1161888
London,2021-02-02,155382.85714285713,1087680
London,2021-02-03,155106.57142857142,1085746
London,2021-02-04,153096.57142857142,1071676
London,2021-02-05,141936.7142857143,993557
London,2021-02-06,150394.7142857143,1052763
London,2021-02-07,153392.7142857143,1073749
London,2021-02-08,152933.42857142858,1070534
London,2021-02-09,161399.7142857143,1129798
London,2021-02-10,163038.0,1141266
London,2021-02-11,153001.85714285713,1071013
London,2021-02-12,151300.85714285713,1059106
London,2021-02-13,156858.42857142858,1098009
London,2021-02-14,159594.85714285713,1117164
London,2021-02-15,156798.0,1097586
London,2021-02-16,154453.0,1081171
London,2021-02-17,161375.7142857143,1129630
London,2021-02-18,174691.0,1222837
London,2021-02-19,182774.42857142858,1279421
London,2021-02-20,179297.0,1255079
London,2021-02-21,193265.2857142857,1352857
London,2021-02-22,205891.57142857142,1441241
London,2021-02-23,211172.14285714287,1478205
London,2021-02-24,192058.7142857143,1344411
London,2021-02-25,179534.2857142857,1256740
London,2021-02-26,186911.42857142858,1308380
London,2021-02-27,177171.14285714287,1240198
London,2021-02-28,170775.14285714287,1195426
London,2021-03-01,176580.0,1236060
London,2021-03-02,178324.85714285713,1248274
London,2021-03-03,187438.42857142858,1312069
London,2021-03-04,189833.57142857142,1328835
London,2021-03-05,177119.14285714287,1239834
London,2021-03-06,185391.14285714287,1297738
London,2021-03-07,177011.85714285713,1239083
London,2021-03-08,161245.14285714287,1128716
London,2021-03-09,147176.0,1030232
London,2021-03-10,152330.0,1066310
London,2021-03-11,153406.85714285713,1073848
London,2021-03-12,162090.7142857143,1134635
London,2021-03-13,158965.14285714287,1112756
London,2021-03-14,155349.2857142857,1087445
London,2021-03-15,161681.2857142857,1131769
London,2021-03-16,159116.42857142858,1113815
London,2021-03-17,146147.42857142858,1023032
London,2021-03-18,144379.7142857143,1010658
London,2021-03-19,133257.57142857142,932803
London,2021-03-20,124161.42857142857,869130
London,2021-03-21,128622.85714285714,900360
London,2021-03-22,122970.42857142857,860793
London,2021-03-23,123968.0,867776
London,2021-03-24,132164.57142857142,925152
London,2021-03-25,149029.2857142857,1043205
London,2021-03-26,157104.85714285713,1099734
London,2021-03-27,160212.0,1121484
London,2021-03-28,168414.7142857143,1178903
London,2021-03-29,173854.33333333334,1043126
London,2021-03-30,180690.8,903454
London,2021-03-31,184121.25,736485
New York,2021-01-01,210739.25,842957
New York,2021-01-02,215581.4,1077907
New York,2021-01-03,202301.83333333334,1213811
New York,2021-01-04,200880.85714285713,1406166
New York,2021-01-05,191463.7142857143,1340246
New York,2021-01-06,192934.7142857143,1350543
New York,2021-01-07,194245.85714285713,1359721
New York,2021-01-08,191771.57142857142,1342401
New York,2021-01-09,185470.42857142858,1298293
New York,2021-01-10,188669.57142857142,1320687
New York,2021-01-11,187499.85714285713,1312499
New York,2021-01-12,187003.7142857143,1309026
New York,2021-01-13,192440.42857142858,1347083
New York,2021-01-14,183485.2857142857,1284397
New York,2021-01-15,181649.2857142857,1271545
New York,2021-01-16,175302.0,1227114
New York,2021-01-17,174810.2857142857,1223672
