Seed,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,team_avg
1,Houston,134.0,128.0,117.0,90.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.756
2,Detroit,149.0,124.0,127.0,104.0,179.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991
3,Orlando,114.0,120.0,130.0,109.0,158.0,140.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.413
4,Oklahoma City,114.0,101.0,105.0,128.0,95.0,199.0,95.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781
5,Cleveland,116.0,120.0,90.0,101.0,37.0,189.0,160.0,49.0,138.0,0.0,0.0,0.0,0.0,0.0,5.103
6,Minnesota,97.0,102.0,99.0,73.0,0.0,155.0,231.0,96.0,44.0,103.0,0.0,0.0,0.0,0.0,5.631
7,Toronto,73.0,93.0,101.0,101.0,0.0,0.0,285.0,195.0,58.0,24.0,70.0,0.0,0.0,0.0,6.053
8,Chicago,64.0,73.0,63.0,79.0,0.0,0.0,0.0,497.0,122.0,42.0,20.0,40.0,0.0,0.0,6.909
9,Sacramento,52.0,50.0,48.0,77.0,0.0,0.0,0.0,0.0,638.0,68.0,22.0,20.0,25.0,0.0,7.833
10,New Orleans,33.0,40.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,763.0,48.0,12.0,11.0,4.0,8.925
11,Charlotte,18.0,22.0,33.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,31.0,10.0,8.0,10.167
12,San Antonio,20.0,11.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.0,17.0,7.0,11.295
13,Indiana,10.0,13.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,5.0,12.413
14,Golden State,6.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,13.73
