team,loser,winner,total,pct,rank
England,7.0,2.0,9.0,0.2222222222222222,2.0
Switzerland,3.0,1.0,4.0,0.25,3.0
Netherlands,5.0,2.0,7.0,0.2857142857142857,4.0
Denmark,2.0,1.0,3.0,0.3333333333333333,5.0
France,4.0,3.0,7.0,0.42857142857142855,6.0
Italy,6.0,5.0,11.0,0.45454545454545453,7.0
Sweden,1.0,1.0,2.0,0.5,8.0
Costa Rica,1.0,1.0,2.0,0.5,8.0
Spain,5.0,5.0,10.0,0.5,8.0
Russia,1.0,1.0,2.0,0.5,8.0
Republic of Ireland,1.0,1.0,2.0,0.5,8.0
Poland,1.0,1.0,2.0,0.5,8.0
Croatia,1.0,2.0,3.0,0.6666666666666666,9.0
Brazil,1.0,3.0,4.0,0.75,10.0
Portugal,1.0,3.0,4.0,0.75,10.0
Argentina,1.0,4.0,5.0,0.8,11.0
Germany,1.0,6.0,7.0,0.8571428571428571,12.0
Ukraine,0.0,1.0,1.0,1.0,13.0
Czechoslovakia,0.0,2.0,2.0,1.0,13.0
South Korea,0.0,1.0,1.0,1.0,13.0
Czech Republic,0.0,1.0,1.0,1.0,13.0
Bulgaria,0.0,1.0,1.0,1.0,13.0
Belgium,0.0,1.0,1.0,1.0,13.0
Turkey,0.0,1.0,1.0,1.0,13.0
Paraguay,0.0,1.0,1.0,1.0,13.0
Uruguay,0.0,1.0,1.0,1.0,13.0
