team,missed,scored,pct_scored,rank
Belgium,0.0,5.0,1.0,1.0
South Korea,0.0,5.0,1.0,1.0
Turkey,0.0,3.0,1.0,1.0
Czech Republic,0.0,6.0,1.0,1.0
Czechoslovakia,0.0,14.0,1.0,1.0
Paraguay,0.0,5.0,1.0,1.0
Poland,1.0,8.0,0.8888888888888888,2.0
Germany,5.0,32.0,0.8648648648648649,3.0
France,7.0,29.0,0.8055555555555556,4.0
Uruguay,1.0,4.0,0.8,5.0
Costa Rica,2.0,8.0,0.8,5.0
Russia,2.0,7.0,0.7777777777777778,6.0
Argentina,5.0,17.0,0.7727272727272727,7.0
Portugal,5.0,16.0,0.7619047619047619,8.0
Sweden,3.0,9.0,0.75,9.0
Ukraine,1.0,3.0,0.75,9.0
Greece,1.0,3.0,0.75,9.0
Bulgaria,1.0,3.0,0.75,9.0
Japan,1.0,3.0,0.75,9.0
Denmark,4.0,11.0,0.7333333333333333,10.0
Romania,3.0,8.0,0.7272727272727273,11.0
Brazil,5.0,13.0,0.7222222222222222,12.0
Spain,14.0,33.0,0.7021276595744681,13.0
Republic of Ireland,3.0,7.0,0.7,14.0
Italy,19.0,42.0,0.6885245901639344,15.0
Netherlands,10.0,22.0,0.6875,16.0
England,16.0,29.0,0.6444444444444445,17.0
Colombia,2.0,3.0,0.6,18.0
Switzerland,7.0,10.0,0.5882352941176471,19.0
Croatia,6.0,8.0,0.5714285714285714,20.0
Ghana,2.0,2.0,0.5,21.0
Chile,3.0,2.0,0.4,22.0
Yugoslavia,3.0,2.0,0.4,22.0
Mexico,5.0,2.0,0.2857142857142857,23.0
