Datetime,Sport,Events,highlight_event,Venue,Location
2021-07-21 01:00:00,Baseball/Softball,Australia vs Japan,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-21 01:00:00,Baseball/Softball,Italy vs United States,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-21 01:00:00,Baseball/Softball,Mexico vs Canada,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-21 08:30:00,Football,Women's Group E: Great Britain vs Chile,False,Sapporo Dome,"43.01517544330762, 141.41041300340524"
2021-07-21 08:30:00,Football,Women's Group E: Japan vs Canada,False,Sapporo Dome,"43.01517544330762, 141.41041300340524"
2021-07-21 09:00:00,Football,Women's Group F: China vs Brazil,False,Miyagi Stadium,"38.33557331725407, 140.95096377309127"
2021-07-21 09:00:00,Football,Women's Group F: Zambia vs Netherlands,False,Miyagi Stadium,"38.33557331725407, 140.95096377309127"
2021-07-21 09:30:00,Football,Women's Group G: Sweden vs United States,False,Tokyo Stadium,"35.66446761779039, 139.52756286092847"
2021-07-21 09:30:00,Football,Women's Group G: Australia vs New Zealand,False,Tokyo Stadium,"35.66446761779039, 139.52756286092847"
2021-07-22 01:00:00,Baseball/Softball,United States vs Canada,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-22 01:00:00,Baseball/Softball,Mexico vs Japan,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-22 01:00:00,Baseball/Softball,Italy vs Australia,False,Fukushima Azuma Baseball Stadium,"37.72216480340486, 140.3640114979229"
2021-07-22 08:30:00,Football,Men's Group C: Egypt vs Spain,False,Sapporo Dome,"43.01517544330762, 141.41041300340524"
2021-07-22 08:30:00,Football,Men's Group C: Argentina vs Australia,False,Sapporo Dome,"43.01517544330762, 141.41041300340524"
2021-07-22 09:00:00,Football,Men's Group B: New Zealand vs Republic of Korea,False,Ibaraki Kashima Stadium,"35.99213056967567, 140.64152126184229"
2021-07-22 09:00:00,Football,Men's Group C: Honduras vs Romania,False,Ibaraki Kashima Stadium,"35.99213056967567, 140.64152126184229"
2021-07-22 09:00:00,Football,Men's Group A: Mexico vs France,False,Tokyo Stadium,"35.66446761779039, 139.52756286092847"
2021-07-22 09:00:00,Football,Men's Group A: Japan vs South Africa ,False,Tokyo Stadium,"35.66446761779039, 139.52756286092847"
2021-07-22 09:30:00,Football,Men's Group D: Côte d'Ivoire vs Saudi Arabia,False,Ibaraki Kashima Stadium,"35.99213056967567, 140.64152126184229"
2021-07-22 09:30:00,Football,Men's Group D: Brazil vs Germany,False,Ibaraki Kashima Stadium,"35.99213056967567, 140.64152126184229"
2021-07-23 00:30:00,Rowing,Men's Single Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 00:30:00,Rowing,Women's Single Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 00:30:00,Rowing,Men's Double Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 00:30:00,Rowing,Women's Double Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 00:30:00,Rowing,Men's Quadruple Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 00:30:00,Rowing,Women's Quadruple Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-23 01:00:00,Archery,Women's Individual Ranking Round,False,Yumenoshima Park Archery Field,"35.65025376166539, 139.82892847281852"
2021-07-23 05:00:00,Archery,Men's Individual Ranking Round,False,Yumenoshima Park Archery Field,"35.65025376166539, 139.82892847281852"
2021-07-23 12:00:00,Opening Ceremony,-,False,Olympic Stadium,"35.67786383266573, 139.71366292613558"
2021-07-24 00:30:00,Shooting,10m Air Rifle Women's Qualification,False,Asaka Shooting Range,"35.7811380207295, 139.58779467064903"
2021-07-24 00:30:00,Shooting,10m Air Rifle Women's Finals ,False,Asaka Shooting Range,"35.7811380207295, 139.58779467064903"
2021-07-24 00:30:00,Shooting,10m Air Rifle Women's Victory Ceremony,True,Asaka Shooting Range,"35.7811380207295, 139.58779467064903"
2021-07-24 00:30:00,Shooting,10m Air Pistol Men's Qualification,False,Asaka Shooting Range,"35.7811380207295, 139.58779467064903"
2021-07-24 00:30:00,Shooting,10m Air Pistol Men's Finals,False,Asaka Shooting Range,"35.7811380207295, 139.58779467064903"
2021-07-24 00:30:00,Rowing,Women's Single Sculls Repechages,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Men's Single Sculls Repechages,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Women's Double Sculls Repechage,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Men's Double Sculls Repechage,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Women's Pair Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Men's Pair Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Lightweight Women's Double Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Lightweight Men's Double Sculls Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Women's Four Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 00:30:00,Rowing,Men's Four Heats,False,Sea Forest Waterway,"35.60796457817903, 139.8147625026683"
2021-07-24 01:00:00,Badminton,Men's Singles Group Play Stage,False,Musashino Forest Sport Plaza,"35.66516093172041, 139.52508181634872"
2021-07-24 01:00:00,Badminton,Women's Singles Group Play Stage,False,Musashino Forest Sport Plaza,"35.66516093172041, 139.52508181634872"
2021-07-24 01:00:00,Badminton,Men's Doubles Group Play Stage,False,Musashino Forest Sport Plaza,"35.66516093172041, 139.52508181634872"
2021-07-24 01:00:00,Badminton,Women's Doubles Group Play Stage,False,Musashino Forest Sport Plaza,"35.66516093172041, 139.52508181634872"
2021-07-24 01:00:00,Badminton,Mixed Doubles Group Play Stage,False,Musashino Forest Sport Plaza,"35.66516093172041, 139.52508181634872"
2021-07-24 01:00:00,Handball,Men's Preliminary Round Group A: Norway vs Brazil,False,Yoyogi National Stadium,"35.66773432212354, 139.70019944667044"
2021-07-24 01:00:00,Handball,Men's Preliminary Round Group A: France vs Argentina,False,Yoyogi National Stadium,"35.66773432212354, 139.70019944667044"
2021-07-24 01:00:00,Beach Volleyball,Men's or Women's Preliminaries (4 matches),False,Shiokaze Park,"35.62426208355979, 139.76843705331703"
2021-07-24 01:00:00,Fencing,Women's Epée Individual Table of 64,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Men's Sabre Individual Table of 64,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Women's Epée Individual Table of 32,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Men's Sabre Individual Table of 32,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Women's Epée Individual Table of 16,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Men's Sabre Individual Table of 16,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Women's Epée Individual Quarterfinals,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Fencing,Men's Sabre Individual Quarterfinals,False,Makuhari Messe Hall,"35.64977449961884, 140.03645074412134"
2021-07-24 01:00:00,Volleyball,Men's Preliminary Round Pool A: Italy vs Canada,False,Ariake Arena,"35.643512573489566, 139.79473745950065"
