Batch No.,datetime,Data Parameter,Actual,Target,Batch Status,Bike Type,Name of Process Step
7000,2021-09-23 08:11:23,Temperature,,91,1,Mountain,Warming Up
7000,2021-09-23 08:18:11,Temperature,59.2,,1,Mountain,Warming Up
7000,2021-09-23 08:28:08,Temperature,72.9,,1,Mountain,Warming Up
7000,2021-09-23 08:32:25,Temperature,104,,1,Mountain,Warming Up
7000,2021-09-23 08:49:45,Temperature,137.55,,1,Mountain,Warming Up
7000,2021-09-23 08:51:37,Temperature,113,,1,Mountain,Warming Up
7000,2021-09-23 08:57:00,Current,,7.104,1,Mountain,Shutter Open
7000,2021-09-23 09:06:48,Current,6.396,,1,Mountain,Shutter Open
7000,2021-09-23 09:15:29,Current,9.875,,1,Mountain,Shutter Open
7000,2021-09-23 09:15:58,Current,7.44,,1,Mountain,Shutter Open
7000,2021-09-23 09:18:39,Current,10.296,,1,Mountain,Shutter Open
7000,2021-09-23 09:23:24,Voltage,,318,1,Mountain,Shutter Open
7000,2021-09-23 09:40:33,Voltage,91,,1,Mountain,Shutter Open
7000,2021-09-23 09:41:59,Voltage,183,,1,Mountain,Shutter Open
7000,2021-09-23 09:49:44,Voltage,317.5,,1,Mountain,Shutter Open
7000,2021-09-23 10:10:17,Voltage,405,,1,Mountain,Shutter Open
7000,2021-09-23 10:17:21,Voltage,283.8,,1,Mountain,Shutter Open
7000,2021-09-23 10:50:04,Voltage,333,,1,Mountain,Shutter Open
7000,2021-09-23 10:50:33,Voltage,,368,1,Mountain,Shutter Open
7000,2021-09-23 10:59:32,Voltage,536,,1,Mountain,Shutter Open
7000,2021-09-23 11:10:25,Gas Flow,,5400,1,Mountain,Painting 1
7000,2021-09-23 11:17:32,Gas Flow,3320,,1,Mountain,Painting 1
7000,2021-09-23 11:18:19,Gas Flow,3157,,1,Mountain,Painting 1
7000,2021-09-23 11:24:48,Gas Flow,4368,,1,Mountain,Painting 1
7000,2021-09-23 11:35:48,Pressure,,450,1,Mountain,Painting 1
7000,2021-09-23 11:42:04,Pressure,768,,1,Mountain,Painting 1
7000,2021-09-23 11:43:37,Pressure,465,,1,Mountain,Painting 1
7000,2021-09-23 12:15:54,Gas Flow,,4260,1,Mountain,Painting 2
7000,2021-09-23 12:18:56,Gas Flow,5400,,1,Mountain,Painting 2
7000,2021-09-23 12:52:11,Gas Flow,5074,,1,Mountain,Painting 2
7000,2021-09-23 12:54:48,Gas Flow,6324,,1,Mountain,Painting 2
7000,2021-09-23 12:56:01,Pressure,,620,1,Mountain,Painting 2
7000,2021-09-23 13:00:41,Pressure,504,,1,Mountain,Painting 2
7000,2021-09-23 13:02:14,Pressure,405,,1,Mountain,Painting 2
7000,2021-09-23 13:27:59,Temperature,,200.2,1,Mountain,Gloss Finish
7000,2021-09-23 13:39:42,Gas Flow,,11700,1,Mountain,Gloss Finish
7000,2021-09-23 13:40:37,Voltage,,180,1,Mountain,Gloss Finish
7000,2021-09-23 13:48:16,Voltage,266,,1,Mountain,Gloss Finish
7000,2021-09-23 14:03:29,Gas Flow,1269,,1,Mountain,Gloss Finish
7000,2021-09-23 14:12:34,Gas Flow,1230,,1,Mountain,Gloss Finish
7000,2021-09-23 14:18:01,Gas Flow,3000,,1,Mountain,Gloss Finish
7000,2021-09-23 14:35:54,Temperature,101.4,,1,Mountain,Gloss Finish
7000,2021-09-23 14:39:42,Temperature,196,,1,Mountain,Gloss Finish
7000,2021-09-23 14:40:14,Temperature,151.5,,1,Mountain,Gloss Finish
7000,2021-09-23 14:43:14,Voltage,,135,1,Mountain,Shutter Closing
7000,2021-09-23 14:44:22,Voltage,123.5,,1,Mountain,Shutter Closing
7000,2021-09-23 14:57:22,Voltage,122,,1,Mountain,Shutter Closing
7000,2021-09-23 14:58:55,Current,,6.325,1,Mountain,Shutter Closing
7000,2021-09-23 14:59:13,Current,6.36,,1,Mountain,Shutter Closing
7000,2021-09-23 15:06:35,Current,3.99,,1,Mountain,Shutter Closing
7000,2021-09-23 15:08:53,Current,3.996,,1,Mountain,Shutter Closing
7001,2021-09-24 09:46:27,Temperature,,136,1,Road,Warming Up
7001,2021-09-24 09:48:22,Temperature,85.6,,1,Road,Warming Up
7001,2021-09-24 09:53:47,Temperature,71.1,,1,Road,Warming Up
7001,2021-09-24 09:56:30,Temperature,88,,1,Road,Warming Up
7001,2021-09-24 09:59:22,Temperature,153.3,,1,Road,Warming Up
7001,2021-09-24 09:59:37,Temperature,75,,1,Road,Warming Up
7001,2021-09-24 10:04:33,Current,,5.624,1,Road,Shutter Open
7001,2021-09-24 10:04:44,Current,6.942,,1,Road,Shutter Open
7001,2021-09-24 10:09:50,Current,11.06,,1,Road,Shutter Open
7001,2021-09-24 10:11:35,Current,9.52,,1,Road,Shutter Open
