Subject,Attendee,contact_type,Contact
Desktop,Kate,Direct Contact,Andy
Desktop,Kate,Direct Contact,Diana
Desktop,Kate,Direct Contact,Anya
Desktop,Tim,Direct Contact,Kate
Desktop,Tim,Direct Contact,Andy
Desktop,Tim,Direct Contact,Anya
Desktop,Andy,Direct Contact,Kate
Desktop,Andy,Direct Contact,Tim
Desktop,Andy,Direct Contact,Diana
Desktop,Andy,Direct Contact,Anya
Desktop,Diana,Direct Contact,Tim
Desktop,Diana,Direct Contact,Andy
Desktop,Diana,Direct Contact,Anya
Desktop,Anya,Direct Contact,Kate
Desktop,Anya,Direct Contact,Tim
Desktop,Anya,Direct Contact,Diana
Desktop,Will,Direct Contact,Shahzad
Desktop,Will,Direct Contact,Jonathan
Desktop,Will,Direct Contact,John
Desktop,Will,Direct Contact,Ravi
Prep,Shahzad,Direct Contact,John
Prep,Shahzad,Direct Contact,Ravi
Prep,Jonathan,Direct Contact,Will
Prep,Jonathan,Direct Contact,Shahzad
Prep,Jonathan,Direct Contact,John
Prep,John,Direct Contact,Will
Prep,John,Direct Contact,Shahzad
Prep,John,Direct Contact,Jonathan
Prep,John,Direct Contact,Ravi
Prep,Ravi,Direct Contact,Will
Prep,Ravi,Direct Contact,Jonathan
Prep,Ravi,Direct Contact,John
Prep,Kate,Direct Contact,Kelly
Prep,Kate,Direct Contact,Donna
Prep,Kate,Direct Contact,Diana
Prep,Kelly,Direct Contact,Kate
Prep,Kelly,Direct Contact,Donna
Prep,Kelly,Direct Contact,Diana
Prep,Kelly,Direct Contact,Sarah
Prep,Donna,Direct Contact,Kate
Prep,Donna,Direct Contact,Sarah
Prep,Diana,Direct Contact,Kate
Prep,Diana,Direct Contact,Kelly
Prep,Diana,Direct Contact,Donna
Prep,Diana,Direct Contact,Sarah
Prep,Sarah,Direct Contact,Kelly
Prep,Sarah,Direct Contact,Donna
Prep,Sarah,Direct Contact,Diana
Prep,Beth,Direct Contact,Arsene
Prep,Beth,Direct Contact,Jonathan
Prep,Beth,Direct Contact,Kirk
Prep,Arsene,Direct Contact,Beth
Prep,Arsene,Direct Contact,Jonathan
Prep,Arsene,Direct Contact,John
Prep,Arsene,Direct Contact,Kirk
Prep,Jonathan,Direct Contact,Arsene
Prep,Jonathan,Direct Contact,John
Prep,Jonathan,Direct Contact,Kirk
Prep,John,Direct Contact,Beth
Prep,John,Direct Contact,Arsene
Desktop,Kirk,Direct Contact,Beth
Desktop,Kirk,Direct Contact,Arsene
Desktop,Kirk,Direct Contact,Jonathan
Desktop,Kirk,Direct Contact,John
Desktop,Carl,Direct Contact,Jared
Desktop,Carl,Direct Contact,Jenny
Desktop,Carl,Direct Contact,Oscar
Desktop,Jared,Direct Contact,Carl
Desktop,Jared,Direct Contact,Jonathan
Desktop,Jared,Direct Contact,Jenny
Desktop,Jonathan,Direct Contact,Carl
Desktop,Jonathan,Direct Contact,Jared
Desktop,Jonathan,Direct Contact,Jenny
Desktop,Jonathan,Direct Contact,Oscar
Desktop,Jenny,Direct Contact,Carl
Desktop,Jenny,Direct Contact,Jonathan
Desktop,Jenny,Direct Contact,Oscar
Desktop,Oscar,Direct Contact,Carl
Desktop,Oscar,Direct Contact,Jared
Desktop,Oscar,Direct Contact,Jonathan
