Date,Day of Week,Event,After School Club
2023-04-17,Monday,First Day of Term,Art Club
2023-04-18,Tuesday,N/A,Karate Club
2023-04-19,Wednesday,N/A,Homework Club
2023-04-20,Thursday,Paint-a-Pot Trip,Coding Club
2023-04-21,Friday,N/A,Gymnastics Club
2023-04-24,Monday,Inset Day,Art Club
2023-04-25,Tuesday,Natural Histroy Museum Trip,Karate Club
2023-04-26,Wednesday,N/A,Homework Club
2023-04-27,Thursday,N/A,Coding Club
2023-04-28,Friday,N/A,Gymnastics Club
2023-05-01,Monday,N/A,Art Club
2023-05-02,Tuesday,N/A,Karate Club
2023-05-03,Wednesday,World Book Day,Homework Club
2023-05-04,Thursday,N/A,Coding Club
2023-05-05,Friday,Non-uniform Day for Comic Relief,Gymnastics Club
2023-05-08,Monday,N/A,Art Club
2023-05-09,Tuesday,N/A,Karate Club
2023-05-10,Wednesday,N/A,Homework Club
2023-05-11,Thursday,N/A,Coding Club
2023-05-12,Friday,N/A,Gymnastics Club
2023-05-15,Monday,N/A,Art Club
2023-05-16,Tuesday,Inset Day,Karate Club
2023-05-17,Wednesday,N/A,Homework Club
2023-05-18,Thursday,N/A,Coding Club
2023-05-19,Friday,N/A,Gymnastics Club
2023-05-22,Monday,N/A,Art Club
2023-05-23,Tuesday,N/A,Karate Club
2023-05-24,Wednesday,Stongehenge Trip,Homework Club
2023-05-25,Thursday,N/A,Coding Club
2023-05-26,Friday,Last Day of Term,Gymnastics Club
