date,reporting_year,reporting_month,reporting_week,reporting_day
2023-01-01,2022,12,48,336
2023-01-02,2022,13,49,337
2023-01-03,2022,13,49,338
2023-01-04,2022,13,49,339
2023-01-05,2022,13,49,340
2023-01-06,2022,13,49,341
2023-01-07,2022,13,49,342
2023-01-08,2022,13,49,343
2023-01-09,2022,13,50,344
2023-01-10,2022,13,50,345
2023-01-11,2022,13,50,346
2023-01-12,2022,13,50,347
2023-01-13,2022,13,50,348
2023-01-14,2022,13,50,349
2023-01-15,2022,13,50,350
2023-01-16,2022,13,51,351
2023-01-17,2022,13,51,352
2023-01-18,2022,13,51,353
2023-01-19,2022,13,51,354
2023-01-20,2022,13,51,355
2023-01-21,2022,13,51,356
2023-01-22,2022,13,51,357
2023-01-23,2022,13,52,358
2023-01-24,2022,13,52,359
2023-01-25,2022,13,52,360
2023-01-26,2022,13,52,361
2023-01-27,2022,13,52,362
2023-01-28,2022,13,52,363
2023-01-29,2022,13,52,364
2023-01-30,2023,1,1,1
2023-01-31,2023,1,1,2
2023-02-01,2023,1,1,3
2023-02-02,2023,1,1,4
2023-02-03,2023,1,1,5
2023-02-04,2023,1,1,6
2023-02-05,2023,1,1,7
2023-02-06,2023,1,2,8
2023-02-07,2023,1,2,9
2023-02-08,2023,1,2,10
2023-02-09,2023,1,2,11
2023-02-10,2023,1,2,12
2023-02-11,2023,1,2,13
2023-02-12,2023,1,2,14
2023-02-13,2023,1,3,15
2023-02-14,2023,1,3,16
2023-02-15,2023,1,3,17
2023-02-16,2023,1,3,18
2023-02-17,2023,1,3,19
2023-02-18,2023,1,3,20
2023-02-19,2023,1,3,21
2023-02-20,2023,1,4,22
2023-02-21,2023,1,4,23
2023-02-22,2023,1,4,24
2023-02-23,2023,1,4,25
2023-02-24,2023,1,4,26
2023-02-25,2023,1,4,27
2023-02-26,2023,1,4,28
2023-02-27,2023,2,5,29
2023-02-28,2023,2,5,30
2023-03-01,2023,2,5,31
2023-03-02,2023,2,5,32
2023-03-03,2023,2,5,33
2023-03-04,2023,2,5,34
2023-03-05,2023,2,5,35
2023-03-06,2023,2,6,36
2023-03-07,2023,2,6,37
2023-03-08,2023,2,6,38
2023-03-09,2023,2,6,39
2023-03-10,2023,2,6,40
2023-03-11,2023,2,6,41
