list,num_children,toys,Production Manager,quota,week,toys_produced,running_sum_toys_produced,over_under_quota
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-01-02,1913067,1913067,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-01-09,523581,2436648,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-01-16,838996,3275644,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-01-23,564224,3839868,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-01-30,795629,4635497,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-02-06,741340,5376837,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-02-13,1179276,6556113,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-02-20,957995,7514108,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-02-27,454288,7968396,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-03-06,1102094,9070490,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-03-13,1103690,10174180,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-03-20,1115202,11289382,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-03-27,125088,11414470,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-04-03,1861435,13275905,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-04-10,557679,13833584,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-04-17,1762382,15595966,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-04-24,2054772,17650738,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-05-01,1513365,19164103,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-05-08,1255239,20419342,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-05-15,1173433,21592775,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-05-22,840654,22433429,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-05-29,753196,23186625,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-06-05,769276,23955901,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-06-12,2298949,26254850,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-06-19,479389,26734239,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-06-26,1957327,28691566,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-07-03,107783,28799349,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-07-10,747631,29546980,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-07-17,1924097,31471077,Under
