list,toys,quota,toys_produced,toys_ready_to_gift,spare_toys,over_under_quota
Nicer than Most,Scooter,75000000.0,57285472,57285472.0,0.0,-17714528.0
Nice,Teddy Bear,100000000.0,94875358,94875358.0,0.0,-5124642.0
Nicest,Barbie's Dream House,80000000.0,69380304,69380304.0,0.0,-10619696.0
Nicest,Large Lego Set,60000000.0,67264304,67264304.0,0.0,7264304.0
Nicer than Most,Barbie Convertible Car,75000000.0,60434606,60434606.0,0.0,-14565394.0
Nicest,Bike,60000000.0,74899003,63355392.0,11543611.0,14899003.0
Nicer than Most,Board Game,30000000.0,61201645,57455919.0,3745726.0,31201645.0
Nice,Skateboard,125000000.0,139549400,139549400.0,0.0,14549400.0
Nice,Small Lego Set,100000000.0,123550293,122996690.0,553603.0,23550293.0
Nice,Barbie Doll,175000000.0,142578552,142578552.0,0.0,-32421448.0
Nicer than Most,Medium Lego Set,75000000.0,68595488,68595488.0,0.0,-6404512.0
Nicer than Most,Squishmallow,45000000.0,56228515,56228515.0,0.0,11228515.0
