Quarter,Flow Card?,aggregate,Premium,First,Economy,Business
1,Yes,median,523.2,2325.0,447.5,1160.0
1,No,median,574.8,2340.0,438.0,1075.0
1,Yes,min,249.6,1020.0,201.0,502.5
1,No,min,241.2,1030.0,204.0,515.0
1,Yes,max,840.0,3500.0,698.0,1737.5
1,No,max,834.0,3455.0,699.0,1702.5
2,No,median,553.8,2325.0,445.0,1205.0
2,Yes,median,517.8,2290.0,459.0,1071.25
2,No,min,240.0,1000.0,202.0,507.5
2,Yes,min,240.0,1020.0,200.0,500.0
2,No,max,828.0,3480.0,694.0,1745.0
2,Yes,max,840.0,3490.0,696.0,1737.5
3,No,median,490.8,2285.0,487.0,1125.0
3,Yes,median,553.8,2347.5,457.0,1090.0
3,No,min,240.0,1000.0,201.0,517.5
3,Yes,min,241.2,1005.0,206.0,502.5
3,No,max,838.8,3475.0,691.0,1747.5
3,Yes,max,840.0,3495.0,697.0,1750.0
4,Yes,median,522.5999999999999,2212.5,424.0,1108.75
4,No,median,555.6,2202.5,428.0,1062.5
4,Yes,min,249.6,1030.0,205.0,505.0
4,No,min,240.0,1015.0,200.0,510.0
4,Yes,max,834.0,3460.0,697.0,1722.5
4,No,max,835.2,3465.0,698.0,1730.0
