Customer ID,Flight Number,Flight Date,Action,Date,Class,Row,Seat,seats_booked,Capacity,Capacity %
000001027,PA001,2024-03-05,Seat Changed,2023-12-12,Business,16,4,1,40,0.025
000003632,PA001,2024-03-05,Seat Changed,2023-12-29,Business,11,2,2,40,0.05
000003111,PA001,2024-03-05,Seat Changed,2023-12-31,Business,14,2,3,40,0.075
000004963,PA001,2024-03-05,Seat Changed,2024-01-04,Business,14,2,4,40,0.1
000008518,PA001,2024-03-05,Booked,2024-01-18,Business,18,4,5,40,0.125
000006353,PA001,2024-03-05,Booked,2024-01-20,Business,18,1,6,40,0.15
000008457,PA001,2024-03-05,Seat Changed,2024-01-27,Business,9,1,7,40,0.175
000007924,PA001,2024-03-05,Seat Changed,2024-01-30,Business,17,3,8,40,0.2
000003514,PA001,2024-03-05,Seat Changed,2024-02-10,Business,16,1,9,40,0.225
000008462,PA001,2024-03-05,Seat Changed,2024-02-12,Business,9,3,10,40,0.25
000000330,PA001,2024-03-05,Seat Changed,2024-02-13,Business,9,1,11,40,0.275
000006624,PA001,2024-03-05,Seat Changed,2024-02-15,Business,11,2,12,40,0.3
000006170,PA001,2024-03-05,Seat Changed,2024-02-19,Business,14,3,13,40,0.325
000006734,PA001,2024-03-05,Seat Changed,2024-02-22,Business,11,1,15,40,0.375
000002296,PA001,2024-03-05,Seat Changed,2024-02-22,Business,9,3,14,40,0.35
000009933,PA001,2024-03-05,Seat Changed,2024-02-24,Business,18,3,16,40,0.4
000007150,PA001,2024-03-05,Seat Changed,2024-03-01,Business,10,1,17,40,0.425
,PA001,2024-03-05,,2024-02-28,Economy,,,0,160,0.0
000007019,PA001,2024-03-05,Booked,2023-12-03,First,3,3,1,32,0.03125
000009481,PA001,2024-03-05,Upgraded,2023-12-19,First,6,4,2,32,0.0625
000007961,PA001,2024-03-05,Booked,2023-12-22,First,5,3,3,32,0.09375
000009695,PA001,2024-03-05,Booked,2023-12-23,First,5,4,4,32,0.125
000000072,PA001,2024-03-05,Booked,2023-12-25,First,8,2,5,32,0.15625
000008172,PA001,2024-03-05,Seat Changed,2023-12-26,First,1,3,6,32,0.1875
000004610,PA001,2024-03-05,Booked,2023-12-27,First,1,2,8,32,0.25
000006850,PA001,2024-03-05,Seat Changed,2023-12-27,First,1,1,7,32,0.21875
000009075,PA001,2024-03-05,Seat Changed,2023-12-28,First,7,1,9,32,0.28125
000000228,PA001,2024-03-05,Upgraded,2024-01-02,First,7,2,10,32,0.3125
000007861,PA001,2024-03-05,Seat Changed,2024-01-08,First,4,1,11,32,0.34375
000007687,PA001,2024-03-05,Upgraded,2024-01-12,First,3,3,12,32,0.375
000004636,PA001,2024-03-05,Seat Changed,2024-01-16,First,2,4,13,32,0.40625
000002271,PA001,2024-03-05,Booked,2024-01-24,First,4,1,15,32,0.46875
000003591,PA001,2024-03-05,Upgraded,2024-01-24,First,3,2,14,32,0.4375
000003181,PA001,2024-03-05,Seat Changed,2024-01-27,First,8,4,16,32,0.5
000009474,PA001,2024-03-05,Booked,2024-01-28,First,8,3,17,32,0.53125
000008822,PA001,2024-03-05,Upgraded,2024-01-30,First,6,4,18,32,0.5625
000000082,PA001,2024-03-05,Booked,2024-01-31,First,5,2,19,32,0.59375
000005477,PA001,2024-03-05,Upgraded,2024-02-04,First,8,4,20,32,0.625
000005325,PA001,2024-03-05,Seat Changed,2024-02-05,First,3,2,21,32,0.65625
000006796,PA001,2024-03-05,Seat Changed,2024-02-11,First,5,4,22,32,0.6875
000005200,PA001,2024-03-05,Seat Changed,2024-02-21,First,7,2,23,32,0.71875
000009369,PA001,2024-03-05,Seat Changed,2024-02-25,First,2,4,24,32,0.75
000006709,PA001,2024-03-05,Upgraded,2024-02-27,First,8,1,25,32,0.78125
000000190,PA001,2024-03-05,Seat Changed,2024-02-28,First,3,4,26,32,0.8125
000001914,PA001,2024-03-05,Seat Changed,2024-03-01,First,5,2,27,32,0.84375
000008286,PA001,2024-03-05,Seat Changed,2023-12-15,Premium Economy,23,3,1,64,0.015625
000005254,PA001,2024-03-05,Booked,2024-01-30,Premium Economy,20,1,2,64,0.03125
